
Note: Compatibility modes selected: hs a

Warning: m=xx on .subckt line will override multiplier m hierarchy!


Circuit: ** sch_path: /fs1/eecg/tcc/lizongh2/sky130_comparator/xschem/double_tail_comp_pex_tb.sch

option SCALE: Scale is set to 1e-06 for instance and model parameters
Reducing trtol to 1 for xspice 'A' devices
Doing analysis at TEMP = 27.000000 and TNOM = 27.000000


Initial Transient Solution
--------------------------

Node                                   Voltage
x3.clk.t7                                    0
x3.a_88_n1613.t16                     0.650589
x3.vss.t23                         8.88999e-05
x3.a_88_n1613.t10                     0.650589
x3.clk.t8                                    0
x3.vss.t22                         4.53829e-12
x3.di_n.t9                                 1.8
x3.vin_p.t2                           0.840896
x3.a_88_n1613.t26                     0.650589
x3.vss.t56                         8.88735e-05
x3.di_n.t6                                 1.8
x3.vin_p.t3                           0.840896
x3.a_88_n1613.t18                     0.650589
x3.vss.t21                         3.38257e-05
x3.clk.t9                                    0
x3.a_88_n1613.t14                     0.650589
x3.a_88_n1613.t0                      0.650589
x3.vin_p.t4                           0.840896
x3.di_n.t0                                 1.8
x3.vss.t0                          8.88759e-05
x3.a_88_n1613.t1                      0.650589
x3.vin_p.t5                           0.840896
x3.di_n.t1                                 1.8
x3.vss.t1                          8.88996e-05
x3.a_88_n1613.t31                     0.650589
x3.vin_n.t4                           0.900896
x3.di_p.t7                                 1.8
x3.vss.t58                         8.88883e-05
x3.a_88_n1613.t4                      0.650589
x3.vin_n.t5                           0.900896
x3.di_p.t6                                 1.8
x3.vss.t12                         8.88732e-05
x3.clk_bar.t5                                0
x3.vdd.t24                             1.78648
x3.vdd.t3                              1.79998
x3.a_88_n1613.t8                      0.650589
x3.clk.t10                                   0
x3.vss.t19                         3.38257e-05
x3.vss.t18                          8.8897e-05
x3.di_n.t8                                 1.8
x3.vin_p.t6                           0.840896
x3.a_88_n1613.t24                     0.650589
x3.vss.t51                         8.88885e-05
x3.vss.t54                          1.1589e-07
x3.vout_n.t9                         0.0877812
x3.vout_p.t7                         0.0873106
x3.di_p.t5                                 1.8
x3.vin_n.t6                           0.900896
x3.a_88_n1613.t22                     0.650589
x3.vss.t45                         8.88843e-05
x3.vss.t17                         3.38255e-05
x3.clk.t11                                   0
x3.a_88_n1613.t15                     0.650589
x3.di_p.t1                                 1.8
x3.clk.t12                                   0
x3.vdd.t9                                  1.8
x3.vdd.t8                                  1.8
x3.vdd.t23                               1.792
x3.clk_bar.t6                                0
x3.vdd.t22                             1.79998
x3.a_88_n1613.t17                     0.650589
x3.vin_p.t7                           0.840896
x3.di_n.t5                                 1.8
x3.vss.t41                         8.88919e-05
x3.vout_n.t0                          0.169444
x3.vout_p.t10                         0.087779
x3.vdd.t0                              1.79998
x3.vss.t14                          0.00905284
x3.di_p.t12                                1.8
x3.vout_n.t7                         0.0724689
x3.vss.t13                         8.88843e-05
x3.vdd.t21                             1.78645
x3.clk_bar.t7                                0
x3.vdd.t20                             1.79998
x3.vout_n.t2                         0.0873109
x3.vout_p.t11                         0.087779
x3.vss.t40                          1.1589e-07
x3.vss.t39                         8.88999e-05
x3.clk_bar.t8                                0
